ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13464,korogocho,secondary,33,male,Luhya,7,1,yes,middle,middle,0,Secure
13465,viwandani,secondary,41,female,Kikuyu,2,0,no_(2),highest,fourth,2,Moderately insecure
13466,korogocho,primary,27,male,Luo,4,0,no_(2),highest,fourth,0,Secure
13468,viwandani,secondary,51,male,Kikuyu,1,0,no_(2),highest,highest,0,Secure
13472,viwandani,primary,28,female,Kikuyu,5,2,yes,highest,fourth,0,Secure
13476,korogocho,secondary,53,male,Kamba,1,0,no_(2),middle,fourth,0,Secure
13477,viwandani,secondary,38,male,Other,1,0,no_(2),lowest,second,0,Secure
13479,viwandani,secondary,31,male,Luo,4,1,yes,middle,fourth,0,Secure
13481,viwandani,secondary,38,male,Kikuyu,4,0,no_(2),highest,highest,0,Secure
13483,viwandani,secondary,45,male,Kamba,1,0,no_(2),middle,middle,0,Secure
13485,korogocho,secondary,29,male,Luhya,6,2,yes,lowest,lowest,3,Severely insecure
13486,viwandani,primary,42,female,Kikuyu,4,0,no_(2),middle,middle,1,Moderately insecure
13489,viwandani,secondary,32,male,Kikuyu,4,2,no_(2),highest,highest,3,Severely insecure
13490,korogocho,secondary,30,male,Kikuyu,3,1,yes,highest,fourth,0,Secure
13491,viwandani,secondary,38,male,Kisii,7,2,no_(2),highest,fourth,3,Severely insecure
13494,korogocho,primary,48,male,Kamba,4,1,yes,lowest,second,0,Secure
13497,korogocho,primary,65,male,Luhya,5,0,yes,highest,highest,1,Moderately insecure
13498,korogocho,primary,49,male,Luhya,6,1,yes,middle,middle,0,Secure
13500,viwandani,primary,63,male,Other,1,0,no_(2),middle,middle,2,Moderately insecure
13502,korogocho,never attended,34,female,Other,8,2,yes,highest,fourth,0,Secure
13503,korogocho,secondary,66,male,Other,1,0,yes,lowest,lowest,3,Severely insecure
13505,korogocho,primary,38,female,Other,8,3,yes,highest,fourth,0,Secure
13506,viwandani,primary,44,male,Kamba,1,0,no_(2),middle,fourth,0,Secure
13507,viwandani,secondary,40,male,Kamba,1,0,no_(2),middle,middle,2,Moderately insecure
13508,korogocho,primary,44,male,Luo,3,1,no_(2),highest,fourth,1,Moderately insecure
13509,viwandani,primary,29,male,Kisii,1,0,no_(2),middle,middle,0,Secure
13511,viwandani,primary,44,female,Kikuyu,3,0,no_(2),lowest,lowest,3,Severely insecure
13514,korogocho,primary,53,male,Kamba,1,0,no_(2),lowest,lowest,2,Moderately insecure
13518,viwandani,secondary,33,male,Luhya,4,0,no_(2),lowest,second,2,Moderately insecure
13519,korogocho,never attended,50,male,Other,5,0,yes,lowest,second,1,Moderately insecure
13520,viwandani,secondary,34,male,Kamba,6,1,no_(2),highest,fourth,1,Moderately insecure
13521,korogocho,primary,38,female,Luo,6,1,yes,highest,highest,3,Severely insecure
13524,korogocho,secondary,22,male,Luo,3,0,yes,lowest,second,2,Moderately insecure
13528,korogocho,primary,37,female,Kikuyu,1,0,no_(2),middle,middle,0,Secure
13530,korogocho,secondary,31,male,Luhya,5,2,yes,highest,fourth,2,Moderately insecure
13531,viwandani,secondary,50,male,Kamba,5,0,no_(2),highest,highest,0,Secure
13532,korogocho,primary,28,female,Kikuyu,2,0,yes,highest,highest,0,Secure
13533,viwandani,secondary,27,male,Kamba,3,0,no_(2),lowest,lowest,0,Secure
13535,korogocho,primary,34,male,Kamba,4,1,yes,middle,middle,0,Secure
13539,viwandani,primary,54,male,Kamba,4,1,yes,highest,highest,0,Secure
13540,korogocho,primary,33,male,Other,6,2,yes,highest,highest,3,Severely insecure
13542,viwandani,secondary,23,male,Luhya,3,0,no_(2),lowest,lowest,0,Secure
13543,viwandani,secondary,36,male,Luo,1,0,no_(2),highest,highest,0,Secure
13545,viwandani,primary,26,male,Kamba,2,0,no_(2),lowest,second,2,Moderately insecure
13546,viwandani,secondary,29,male,Luhya,4,1,yes,lowest,lowest,2,Moderately insecure
